"filename","corpus","utterance"
"US/Brown/Adam/adam01.xml","brown","do you hear a horn playing"
"US/Brown/Adam/adam01.xml","brown","I don't hear a horn"
"US/Brown/Adam/adam01.xml","brown","is there a horn on there"
"US/Brown/Adam/adam01.xml","brown","did he like the water"
"US/Brown/Adam/adam01.xml","brown","what do you see in there"
"US/Brown/Adam/adam01.xml","brown","where does the ladder go"
"US/Brown/Adam/adam01.xml","brown","can you put it on"
"US/Brown/Adam/adam01.xml","brown","can you put them in there"
"US/Brown/Adam/adam01.xml","brown","I thought you couldn't do it"
"US/Brown/Adam/adam01.xml","brown","that's no ladder for that"
"US/Brown/Adam/adam01.xml","brown","shall I put this back there"
"US/Brown/Adam/adam01.xml","brown","you didn't watch where you were going"
"US/Brown/Adam/adam01.xml","brown","you read your paper and I'll read mine"
"US/Brown/Adam/adam01.xml","brown","mine paper"
"US/Brown/Adam/adam01.xml","brown","this is my paper here"
"US/Brown/Adam/adam01.xml","brown","alright it's yours"
"US/Brown/Adam/adam01.xml","brown","are you going to say goodbye"
"US/Brown/Adam/adam01.xml","brown","he's going out"
"US/Brown/Adam/adam01.xml","brown","would you like some soup"
"US/Brown/Adam/adam01.xml","brown","what kind of soup"
"US/Brown/Adam/adam01.xml","brown","well you told her to sit there"
"US/Brown/Adam/adam01.xml","brown","that's the stool I use when I wash dishes"
"US/Brown/Adam/adam01.xml","brown","minestrone"
"US/Brown/Adam/adam01.xml","brown","what's that"
"US/Brown/Adam/adam01.xml","brown","Mommy's tea"
"US/Brown/Adam/adam01.xml","brown","what are you doing Adam"
"US/Brown/Adam/adam01.xml","brown","what do you want a napkin for"
"US/Brown/Adam/adam01.xml","brown","is it sunny outside"
"US/Brown/Adam/adam01.xml","brown","did you see the sun"
"US/Brown/Adam/adam01.xml","brown","is that a lady"
"US/Brown/Adam/adam01.xml","brown","is it hot"
"US/Brown/Adam/adam01.xml","brown","you can't reach it"
"US/Brown/Adam/adam01.xml","brown","put water in it"
"US/Brown/Adam/adam01.xml","brown","Adam drive record"
"US/Brown/Adam/adam01.xml","brown","where's your truck going"
"US/Brown/Adam/adam01.xml","brown","no there's your paper"
"US/Brown/Adam/adam01.xml","brown","oh doggie write paper"
"US/Brown/Adam/adam01.xml","brown","that's a smart doggie"
"US/Brown/Adam/adam01.xml","brown","what did the doggie write"
"US/Brown/Adam/adam01.xml","brown","what is that"
"US/Brown/Adam/adam01.xml","brown","that's a hole"
"US/Brown/Adam/adam01.xml","brown","what did you see in the park this morning"
"US/Brown/Adam/adam01.xml","brown","oh climb"
"US/Brown/Adam/adam01.xml","brown","what did he climb"
"US/Brown/Adam/adam01.xml","brown","was he a big kitty or was he a little kitty"
"US/Brown/Adam/adam01.xml","brown","no big kitty"
"US/Brown/Adam/adam01.xml","brown","do you want to write on here"
"US/Brown/Adam/adam01.xml","brown","Daddy went to school"
"US/Brown/Adam/adam01.xml","brown","car broke"
"US/Brown/Adam/adam01.xml","brown","those are her feet"
"US/Brown/Adam/adam01.xml","brown","how many feet does she have"
"US/Brown/Adam/adam01.xml","brown","how many feet do you have"
